Scode,itercount,acc_test,val,margin,period
ESTE,3,0.4414634,[2],4,1
ESTE,4,0.42439026,[2],4,1
EGHT,0,0.3570521,[2],4,1
EGHT,1,0.31257942,[2],4,1
EGHT,2,0.33545107,[2],4,1
EGHT,3,0.33672172,[2],4,1
EGHT,4,0.364676,[2],4,1
TECK,0,0.2673435,[2],4,1
TECK,1,0.38409474,[2],4,1
TECK,2,0.34179357,[2],4,1
TECK,3,0.26395938,[2],4,1
TECK,4,0.34856176,[2],4,1
AG,0,0.2725061,[2],4,1
AG,1,0.2919708,[2],4,1
AG,2,0.35279804,[2],4,1
AG,3,0.34063262,[2],4,1
AG,4,0.2725061,[2],4,1
HTZ,0,0.35901925,[2],4,1
HTZ,1,0.37478107,[2],4,1
HTZ,2,0.37302977,[2],4,1
HTZ,3,0.3625219,[2],4,1
HTZ,4,0.34150612,[2],4,1
AGI,0,0.37317073,[2],4,1
AGI,1,0.40731707,[2],4,1
AGI,2,0.3804878,[2],4,1
AGI,3,0.2512195,[2],4,1
AGI,4,0.3682927,[2],4,1
BXC,0,0.34080717,[2],4,1
BXC,1,0.32436472,[2],4,1
BXC,2,0.3542601,[2],4,1
BXC,3,0.34678626,[2],4,1
BXC,4,0.35127056,[2],4,1
GOL,0,0.2943723,[2],4,1
GOL,1,0.28282827,[2],4,1
GOL,2,0.31601733,[2],4,1
GOL,3,0.3102453,[2],4,1
GOL,4,0.31601733,[2],4,1
